shape_id,county_name,precinct_id,sen_red,sen_blue,con_any_districts,con_red_votes,con_blue_votes,sldu_districts,sldu_red_votes,sldu_blue_votes,sldl_districts,sldl_red_votes,sldl_blue_votes,population,white_pop,black_pop,asian_pop,hispanic_pop,other_pop,median_age,median_income,education_pop,school_pop,diploma_pop,college_pop,graduate_pop,area_km2
1054,WAKE,01-36,514,358,413,547,234,15,505,375,49,551,312,2608,1995,232,6,318,57,33,61677,1797,149,171,1080,397,3
1166,WAKE,01-37,390,427,13,441,394,15,383,455,34,,545,2508,1874,411,53,106,63,29,40551,1986,116,378,1158,334,2
1167,WAKE,01-38,343,566,4,329,615,1416,260,459,34038,35,581,3653,2005,548,267,775,58,28,42312,2465,289,557,1290,328,4
1168,WAKE,01-39,255,444,413,260,460,15,272,451,34,,531,3405,2059,971,4,149,221,37,43104,2895,272,599,1691,333,3
1169,WAKE,01-40,52,1100,4,55,1111,14,,1129,38,59,1096,8959,716,6076,185,1935,46,50,52672,5284,1303,1708,1974,299,8
1170,WAKE,01-41,195,494,4,209,517,16,185,527,11,226,484,2820,1864,250,377,235,94,15,33658,1527,76,185,877,389,2
1171,WAKE,01-42,655,466,13,712,414,15,569,555,49,669,444,4050,3247,381,107,229,86,44,93662,2850,149,554,1594,554,5
1172,WAKE,01-43,282,457,4,272,477,1415,191,258,34,,524,3426,2022,777,57,525,45,23,28568,2465,197,640,1235,392,2
1173,WAKE,01-44,431,702,4,428,722,14,,816,34038,44,615,5574,2841,1463,134,1028,107,37,47778,3652,400,1113,1815,324,3
1174,WAKE,01-45,324,344,13,352,328,15,324,356,34,,428,3312,1988,416,217,426,266,33,48852,2151,257,424,1151,319,2
1185,WAKE,01-46,139,733,4,139,752,14,,767,34038,134,672,7925,1545,3212,181,2688,299,32,38543,4393,1089,1463,1635,205,4
1186,WAKE,01-47,567,439,13,623,407,15,546,482,49,596,425,2909,2363,271,51,168,56,43,100344,2164,105,271,1275,513,3
1187,WAKE,01-48,240,685,4,237,718,16,229,716,11,269,675,3745,2381,430,444,383,106,22,45516,2125,141,282,1189,513,3
1188,WAKE,01-49,213,570,4,227,582,16,222,583,11,249,556,5211,2489,1410,154,880,277,21,26704,3142,419,740,1613,370,3
1189,WAKE,01-50,45,682,4,45,696,14,,704,33,39,699,3393,251,2611,63,305,163,16,14423,2170,402,764,857,147,3
1190,WAKE,01-51,248,300,4,250,313,15,246,310,34,,352,1794,1059,400,34,273,28,13,15432,1286,105,331,646,204,1
1191,WAKE,02-01,762,550,13,846,491,15,784,560,49,806,527,3985,3486,107,278,86,29,46,122466,2787,35,289,1731,733,10
1192,WAKE,02-02,1337,800,13,1398,769,15,1328,829,40,1404,739,6948,5988,571,54,273,62,90,275915,4688,144,688,2742,1115,36
1193,WAKE,02-03,846,444,13,883,426,15,834,468,40,867,426,3864,3508,133,83,113,27,64,171444,2784,48,499,1498,739,18
1194,WAKE,02-04,670,368,13,713,335,15,672,378,40,689,355,3751,3272,178,149,92,60,48,152904,2646,20,286,1469,872,15
1195,WAKE,02-05,308,216,13,325,195,15,303,216,49,320,202,985,839,112,6,19,8,11,40478,634,17,70,389,159,3
1196,WAKE,02-06,704,378,13,775,326,15,716,377,49,759,324,2455,2115,125,99,68,49,22,69343,1731,14,139,985,594,9
2241,WAKE,03-00,679,506,2,724,497,17,767,434,37041,655,470,9984,7771,987,347,673,206,61,146963,6183,228,1289,3640,1027,95
976,WAKE,04-01,362,520,2,407,503,16,345,537,11,394,484,3198,1969,571,60,509,89,29,42558,2309,418,656,951,284,2
977,WAKE,04-02,452,562,2,500,567,16,428,604,11,522,524,6023,3167,412,211,2065,168,42,67263,4083,773,986,1773,550,6
978,WAKE,04-03,291,383,4,295,410,16,285,413,11,326,369,4280,2014,1087,131,877,171,36,61082,2895,387,732,1304,473,3
979,WAKE,04-04,253,335,2,274,323,16,246,342,11,280,314,3251,1684,618,46,723,181,25,32222,2161,293,633,981,254,2
980,WAKE,04-05,540,723,4,549,751,16,487,785,11034,499,590,6260,4384,618,665,378,216,66,122603,4470,239,807,2324,1100,19
