Race,District,Winner,Dem?,Rep?,Other?,Dem Votes,Rep Votes,Other Votes,year,chamber,district_id,is_contested
State Senate 2012,District 2,Republican,Yes,Yes,No,31479,53873,,2012,sldu,02,Yes
State Senate 2012,District 3,Democratic,Yes,No,No,65851,,,2012,sldu,03,No
State Senate 2012,District 4,Democratic,Yes,Yes,No,63666,24363,,2012,sldu,04,Yes
State Senate 2012,District 5,Democratic,Yes,No,No,59648,,,2012,sldu,05,No
State Senate 2012,District 6,Republican,No,Yes,No,,38572,,2012,sldu,06,No
State Senate 2012,District 7,Republican,No,Yes,No,,60120,,2012,sldu,07,No
State Senate 2012,District 8,Republican,Yes,Yes,No,39919,58282,,2012,sldu,08,Yes
State Senate 2012,District 9,Republican,Yes,Yes,No,44817,52955,,2012,sldu,09,Yes
State Senate 2012,District 10,Republican,No,Yes,No,,48772,,2012,sldu,10,No
State Senate 2012,District 11,Republican,Yes,Yes,No,34291,53127,,2012,sldu,11,Yes
State Senate 2012,District 12,Republican,Yes,Yes,No,36337,37809,,2012,sldu,12,Yes
State Senate 2012,District 13,Democratic,Yes,Yes,No,46974,17770,,2012,sldu,13,Yes
State Senate 2012,District 14,Democratic,Yes,No,No,72652,,,2012,sldu,14,No
State Senate 2012,District 15,Republican,Yes,Yes,No,40050,61981,,2012,sldu,15,Yes
State Senate 2012,District 16,Democratic,Yes,No,No,69405,,,2012,sldu,16,No
State Senate 2012,District 17,Republican,Yes,Yes,No,49298,57101,,2012,sldu,17,Yes
State Senate 2012,District 18,Republican,Yes,Yes,No,40897,51873,,2012,sldu,18,Yes
State Senate 2012,District 19,Republican,Yes,Yes,No,31936,37308,,2012,sldu,19,Yes
State Senate 2012,District 20,Democratic,Yes,No,No,75673,,,2012,sldu,20,No
State Senate 2012,District 21,Democratic,Yes,No,No,57805,,,2012,sldu,21,No
State Senate 2012,District 22,Democratic,Yes,Yes,No,67484,35730,,2012,sldu,22,Yes
State Senate 2012,District 23,Democratic,Yes,Yes,No,71919,35467,,2012,sldu,23,Yes
State Senate 2012,District 24,Republican,No,Yes,Yes,,51230,13605,2012,sldu,24,No
